Iteration, FED
677, -109.37360755518252
678, -109.37361308466099
679, -109.37361860023789
680, -109.37362410197957
681, -109.37362958995124
682, -109.37363506421757
683, -109.37364052484317
684, -109.37364597189264
685, -109.37365140542953
686, -109.37365682551682
687, -109.37366223221719
688, -109.37366762559454
689, -109.37367300570982
690, -109.37367837262643
691, -109.37368372640373
692, -109.37368906710556
693, -109.3736943947901
694, -109.37369970951988
695, -109.37370501135297
696, -109.3737103003513
697, -109.3737155765736
698, -109.37372084007794
699, -109.37372609092351
700, -109.37373132916898
701, -109.37373655487205
702, -109.37374176809179
703, -109.37374696888294
704, -109.37375215730474
705, -109.37375733341327
706, -109.37376249726411
707, -109.37376764891384
708, -109.37377278841872
709, -109.37377791583387
710, -109.3737830312145
711, -109.37378813461417
712, -109.37379322608925
713, -109.37379830569213
714, -109.37380337347759
715, -109.37380842949928
716, -109.37381347381017
717, -109.37381850646219
718, -109.37382352751047
719, -109.3738285370049
720, -109.3738335349982
721, -109.37383852154282
722, -109.37384349668895
723, -109.37384846049
724, -109.37385341299363
725, -109.37385835425282
726, -109.37386328431707
727, -109.37386820323677
728, -109.3738731110612
729, -109.3738780078397
730, -109.37388289362121
731, -109.37388776845734
732, -109.37389263239204
733, -109.37389748547754
734, -109.37390232775991
735, -109.37390715928787
736, -109.37391198010897
737, -109.37391679026953
738, -109.37392158981828
739, -109.37392637880072
740, -109.37393115726337
741, -109.37393592525312
742, -109.3739406828151
743, -109.37394542999607
744, -109.3739501668415
745, -109.37395489339598
746, -109.37395960970443
747, -109.37396431581186
748, -109.37396901176342
749, -109.37397369760257
750, -109.3739783733738
751, -109.3739830391205
752, -109.37398769488681
753, -109.37399234071572
754, -109.37399697665042
755, -109.37400160273317
756, -109.37400621900754
757, -109.37401082551551
758, -109.37401542229895
759, -109.37402000939964
760, -109.37402458686057
761, -109.37402915472275
762, -109.37403371302563
763, -109.37403826181294
764, -109.37404280112327
765, -109.37404733099893
766, -109.37405185147946
767, -109.3740563626057
768, -109.37406086441581
769, -109.37406535695212
770, -109.37406984025256
