x, y, Potential, x-field, y-field, z-field
 38, 52, 0.19450956238371142, -0.9862502524012957, 0.16522023217448875, 0.00356574236147038
 38, 53, 0.19195269487796268, -0.9699464252998973, 0.24329166263739568, 0.0036192456510144417
 38, 54, 0.18852608460822662, -0.9484368494210997, 0.3169446572005089, 0.0036914674900763466
 38, 55, 0.18435417976929158, -0.9227726145914262, 0.3853263723989422, 0.0037800124305185723
 38, 56, 0.17957070919796916, -0.8940463362624146, 0.4479576721276231, 0.003882344363186377
 38, 57, 0.1743080140835882, -0.863290503555476, 0.5046915285675385, 0.003995930817006002
 38, 58, 0.1686894043461314, -0.831410396674993, 0.5556435833467495, 0.004118323240688709
 38, 59, 0.1628245749674827, -0.7991513363771331, 0.6011148832830807, 0.004247194628268735
 38, 60, 0.156807570345196, -0.7670930878442225, 0.6415208547587425, 0.004380352865732981
 38, 61, 0.15071659113798952, -0.7356620155003454, 0.6773337486247262, 0.0045157417935286475
 38, 62, 0.14461496885255654, -0.7051524951301132, 0.7090404239180551, 0.004651436539443808
 38, 63, 0.13855276775950529, -0.6757513438557075, 0.7371141152921771, 0.00478563624155037
 38, 64, 0.13256863106331773, -0.6475613904229585, 0.7619974226544899, 0.004916655509535805
 38, 65, 0.12669162718954, -0.6206221924591484, 0.7840935296463639, 0.005042915219031571
 38, 66, 0.12094295802429046, -0.5949271789951606, 0.8037630221749937, 0.005162932982388847
 38, 67, 0.11533746394646352, -0.5704372415929723, 0.8213242505066949, 0.005275313584713092
 38, 68, 0.10988490658494046, -0.5470911674863264, 0.8370557470192816, 0.005378739670286862
 38, 69, 0.10459103675201706, -0.5248134438717401, 0.8511996867673658, 0.005471962958772299
 38, 70, 0.09945846842382729, -0.5035199682933206, 0.863965738254174, 0.005553796252441285
 38, 71, 0.09448738489927838, -0.4831221438703901, 0.8755349077996283, 0.005623106470133239
 38, 72, 0.08967610381700392, -0.4635297597721723, 0.8860631540329584, 0.00567880891719827
 38, 73, 0.085021525792082, -0.4446529779117094, 0.8956846612518045, 0.005719862978175803
 38, 74, 0.08051948843129178, -0.42640367595842366, 0.904514730122539, 0.00574526940131971
