x, y, Potential, Ex, Ey, Ez
 17, 24, 0.0005193671588548041, -0.8199587458557742, -0.572420107305176, 0.0016958323492739385
 17, 25, 0.0005437579421285124, -0.832571470579641, -0.5539150632448132, 0.001687923975948879
 17, 26, 0.0005682621014351241, -0.8445870447228979, -0.5354156410975537, 0.0016778421669971953
 17, 27, 0.0005928271968977943, -0.8560676647946039, -0.5168610817425742, 0.0016659750927429354
 17, 28, 0.0006174058106413194, -0.8670643633419219, -0.4981933949749708, 0.0016525815502219645
 17, 29, 0.0006419308568285694, -0.8776188013227291, -0.4793563982228277, 0.001638001127538051
 17, 30, 0.0006663405316711157, -0.8877629460155949, -0.4602980766213171, 0.0016224488984059942
 17, 31, 0.0006905524568623702, -0.8975207614673868, -0.4409692764592864, 0.0016062235135262193
 17, 32, 0.0007144901274258829, -0.9069078149111869, -0.42132610734625114, 0.001589503529897083
 17, 33, 0.0007380560738787057, -0.9159328600802585, -0.4013284476625596, 0.0015725526883203908
 17, 34, 0.0007611597854131568, -0.9245974746782029, -0.3809423712068699, 0.001555518555724347
 17, 35, 0.0007836900822048911, -0.9328975532565472, -0.36013856740389, 0.0015386345314691314
 17, 36, 0.0008055444801422955, -0.9408230682660134, -0.33889472948072763, 0.001522021257613318
 17, 37, 0.0008266009532775093, -0.9483594955183356, -0.31719394630130915, 0.001505885125179303
 17, 38, 0.0008467486750148741, -0.9554877676312202, -0.29502695613346475, 0.0014903226932142131
 17, 39, 0.0008658593154957655, -0.9621856486027598, -0.2723905293442181, 0.0014755156600277852
 17, 40, 0.0008838190381196649, -0.968427913417718, -0.24928947113564887, 0.001461538338046016
 17, 41, 0.0009004994154341554, -0.9741876703410668, -0.22573498767490482, 0.001448549224430514
 17, 42, 0.0009157904804671832, -0.9794367566131912, -0.20174631588066225, 0.0014366014103825236
 17, 43, 0.0009295712633484566, -0.9841469808013513, -0.1773490546505548, 0.0014258310346413532
 17, 44, 0.0009417436053683962, -0.9882906771472365, -0.15257631415823128, 0.00141627036447454
 17, 45, 0.0009522022338290193, -0.9918418122880426, -0.12746700294079352, 0.001408033544698469
 17, 46, 0.0009608689650412143, -0.9947765988483159, -0.1020664254932717, 0.0014011319721110441
 17, 47, 0.0009676621729602888, -0.9970743909067779, -0.07642454538313476, 0.0013956578588594703
 17, 48, 0.0009725309638999995, -0.9987182318903634, -0.05059601501351576, 0.0013916014294229903
 17, 49, 0.0009754238832521769, -0.9996954616195641, -0.02463847813607989, 0.0013890328954527648
 17, 50, 0.0009763226637050653, -0.9999980736736342, 0.0013879209308523322, 0.0013879209308509247
 17, 51, 0.0009752100707919799, -0.9996229797535469, 0.02742208842717924, 0.0013883137009563615
 17, 52, 0.0009721029147176539, -0.9985720799603822, 0.05340288928784875, 0.00139015801467028
 17, 53, 0.00096701905424362, -0.9968521751703299, 0.07927041737935338, 0.001393480062633348
 17, 54, 0.0009600095015815104, -0.9944747030936701, 0.10496718501813544, 0.0013982046076400335
 17, 55, 0.0009511247550976107, -0.9914553447452492, 0.13043897889928882, 0.001404336067366988
 17, 56, 0.0009404459779605233, -0.9878134348483488, 0.15563619379357804, 0.0014117770910745092
 17, 57, 0.000928050969249575, -0.9835713575402408, 0.18051417333866926, 0.0014205105788436738
 17, 58, 0.0009140445160605662, -0.9787536848744866, 0.2050345781857088, 0.0014304170100343677
 17, 59, 0.0008985244006674347, -0.9733864847520427, 0.22916516642173604, 0.0014414579284514637
 17, 60, 0.0008816110824879172, -0.9674962643257099, 0.25288112993743134, 0.0014534914392905728
 17, 61, 0.0008634141577081025, -0.9611093127888165, 0.2761643321877154, 0.0014664576100890865
 17, 62, 0.0008440615165048169, -0.9542505249803735, 0.29900458960925796, 0.0014801916364019878
 17, 63, 0.0008236666278640529, -0.9469428756215131, 0.32139843877358004, 0.001494611509641278
 17, 64, 0.0008023572557621508, -0.9392061784118488, 0.34335036880252523, 0.0015095284628922733
 17, 65, 0.000780243859964202, -0.9310567458145282, 0.3648712251534402, 0.0015248371351140517
 17, 66, 0.0007574478703827756, -0.9225061107514752, 0.3859794075221007, 0.0015403230425371645
 17, 67, 0.0007340714028437283, -0.9135608782264967, 0.4066990301048818, 0.0015558553212363512
 17, 68, 0.0007102250097369013, -0.9042214103245568, 0.42706108751456306, 0.0015711911239621949
 17, 69, 0.000685998830112621, -0.8944818319444094, 0.44710148331604826, 0.0015861708492035346
 17, 70, 0.000661489673755401, -0.8843286620389829, 0.46686213793104564, 0.0016005195393751417
 17, 71, 0.0006367736687149228, -0.8737409012206832, 0.48638897232055384, 0.0016140443067325443
 17, 72, 0.0006119325009572344, -0.8626885867304137, 0.5057328910015015, 0.0016264330127535708
 17, 73, 0.0005870275909182522, -0.8511328681508165, 0.524947768353929, 0.0016374533870243582
 17, 74, 0.0005621252996957499, -0.839024473096747, 0.5440911888284591, 0.001646749513513858
 17, 75, 0.0005372726547285631, -0.8263036729701306, 0.5632224286917082, 0.0016540419236065718
 17, 76, 0.0005125213397924163, -0.8128986760458188, 0.5824027733951219, 0.001658922730331551
